sat4.Earth.SMA	sat4.Earth.ECC	sat4.Earth.RadPer	sat4.Earth.Energy	sat4.Earth.HMAG	sat4.Earth.RMAG	sat4.EarthMJ2000Eq.VMAG	sat4.Earth.TA	sat4.EarthMJ2000Eq.FPA	Column1
659487.5621	0.981588758	12141.98481	-0.302204669	97931.06901	582375.6893	0.874338606	167.5986983	11.08854787	
659335.541	0.981576435	12147.31151	-0.302274348	97952.24328	584688.1158	0.871157142	167.641617	11.08741067	
659186.3363	0.981564311	12152.55412	-0.302342767	97973.07872	586992.155	0.868001218	167.6842327	11.08638966	
659039.9144	0.981552384	12157.71522	-0.30240994	97993.58581	589287.8733	0.864870456	167.7265486	11.08548389	
658896.2423	0.981540649	12162.79734	-0.30247588	98013.77485	591575.3359	0.861764487	167.7685682	11.08469243	
658755.2876	0.9815291	12167.80294	-0.302540601	98033.6559	593854.6069	0.85868295	167.8102946	11.08401436	
658617.0189	0.981517735	12172.73446	-0.302604116	98053.23884	596125.7498	0.855625493	167.8517311	11.08344881	
658481.4052	0.981506548	12177.59429	-0.302666437	98072.53338	598388.827	0.852591771	167.8928808	11.08299489	
658348.4166	0.981495536	12182.38477	-0.302727577	98091.54904	600643.9001	0.849581445	167.9337468	11.08265175	
658218.0236	0.981484694	12187.10821	-0.302787547	98110.29518	602891.0298	0.846594184	167.9743321	11.08241856	
658090.1972	0.981474018	12191.76689	-0.30284636	98128.781	605130.2758	0.843629665	168.0146397	11.08229452	
657964.9094	0.981463505	12196.36304	-0.302904027	98147.01557	607361.6972	0.84068757	168.0546724	11.08227882	
657842.1326	0.981453151	12200.89886	-0.30296056	98165.00779	609585.3521	0.83776759	168.0944332	11.0823707	
657721.8398	0.981442951	12205.37653	-0.303015969	98182.76647	611801.298	0.834869421	168.1339249	11.0825694	
657604.0045	0.981432902	12209.79819	-0.303070266	98200.30026	614009.5914	0.831992764	168.1731502	11.0828742	
657488.601	0.981423	12214.16596	-0.303123462	98217.6177	616210.2881	0.829137329	168.2121117	11.08328437	
657375.6038	0.981413241	12218.48193	-0.303175566	98234.72723	618403.4433	0.826302829	168.2508123	11.08379923	
657264.9882	0.981403622	12222.74816	-0.303226589	98251.63719	620589.1113	0.823488985	168.2892544	11.0844181	
657156.7299	0.981394139	12226.96671	-0.303276542	98268.35579	622767.3457	0.820695523	168.3274406	11.08514033	
657050.805	0.981384789	12231.13958	-0.303325434	98284.89117	624938.1994	0.817922173	168.3653735	11.08596529	
656947.1901	0.981375567	12235.26878	-0.303373275	98301.25139	627101.7247	0.815168673	168.4030555	11.08689236	
656845.8624	0.981366471	12239.3563	-0.303420075	98317.4444	629257.9731	0.812434765	168.440489	11.08792095	
656746.7993	0.981357497	12243.40408	-0.303465842	98333.4781	631406.9954	0.809720194	168.4776763	11.08905047	
656649.9789	0.981348642	12247.41409	-0.303510587	98349.36029	633548.8419	0.807024713	168.5146199	11.09028038	
656555.3794	0.981339901	12251.38825	-0.303554318	98365.09871	635683.5622	0.804348079	168.5513219	11.09161013	
656462.9797	0.981331273	12255.32848	-0.303597045	98380.70104	637811.2053	0.801690053	168.5877846	11.09303921	
656372.7587	0.981322752	12259.23667	-0.303638776	98396.17489	639931.8193	0.7990504	168.6240103	11.09456711	
656284.6961	0.981314337	12263.11471	-0.303679519	98411.52782	642045.4522	0.796428892	168.6600011	11.09619335	
656198.7717	0.981306023	12266.96448	-0.303719283	98426.76732	644152.151	0.793825301	168.695759	11.09791748	
656114.9656	0.981297808	12270.78785	-0.303758078	98441.90084	646251.9623	0.791239409	168.7312862	11.09973903	
656033.2584	0.981289688	12274.58665	-0.30379591	98456.93578	648344.9321	0.788670996	168.7665847	11.10165759	
655953.631	0.981281661	12278.36274	-0.303832788	98471.8795	650431.1058	0.786119851	168.8016565	11.10367275	
655876.0644	0.981273721	12282.11794	-0.303868721	98486.73929	652510.5283	0.783585765	168.8365035	11.10578411	
655800.5402	0.981265868	12285.85408	-0.303903715	98501.52243	654583.2438	0.781068531	168.8711278	11.1079913	
655727.0401	0.981258096	12289.57297	-0.30393778	98516.23615	656649.2963	0.778567949	168.9055311	11.11029396	
655655.546	0.981250404	12293.27642	-0.303970922	98530.88764	658708.729	0.776083821	168.9397154	11.11269176	
655586.0403	0.981242788	12296.96622	-0.304003149	98545.48405	660761.5846	0.773615952	168.9736824	11.11518436	
655518.5056	0.981235245	12300.64417	-0.304034469	98560.03252	662807.9054	0.771164152	169.0074339	11.11777147	
655452.9245	0.981227772	12304.31206	-0.304064889	98574.54014	664847.7333	0.768728233	169.0409717	11.12045279	
655389.2802	0.981220365	12307.97166	-0.304094417	98589.01398	666881.1094	0.766308012	169.0742976	11.12322806	
655327.556	0.981213021	12311.62474	-0.304123059	98603.46108	668908.0746	0.763903306	169.1074132	11.12609701	
655267.7352	0.981205739	12315.27308	-0.304150823	98617.88846	670928.6693	0.761513939	169.1403201	11.12905941	
655209.8017	0.981198513	12318.91843	-0.304177716	98632.3031	672942.9332	0.759139735	169.17302	11.13211502	
655153.7394	0.981191342	12322.56256	-0.304203745	98646.71198	674950.9059	0.756780524	169.2055145	11.13526365	
655099.5324	0.981184222	12326.20722	-0.304228916	98661.12205	676952.6263	0.754436136	169.2378052	11.13850511	
655047.1649	0.981177151	12329.85416	-0.304253238	98675.54023	678948.133	0.752106406	169.2698936	11.1418392	
654996.6217	0.981170124	12333.50512	-0.304276716	98689.97343	680937.464	0.74979117	169.3017813	11.14526577	
654947.8873	0.98116314	12337.16186	-0.304299357	98704.42855	682920.6571	0.747490268	169.3334696	11.14878468	
654900.9466	0.981156194	12340.8261	-0.304321168	98718.91246	684897.7495	0.745203543	169.3649602	11.15239579	
654855.7846	0.981149285	12344.49959	-0.304342155	98733.43201	686868.7782	0.74293084	169.3962543	11.15609899	
654812.3867	0.981142409	12348.18406	-0.304362325	98747.99405	688833.7794	0.740672006	169.4273535	11.15989416	
654770.7381	0.981135563	12351.88123	-0.304381685	98762.60541	690792.7895	0.738426891	169.4582591	11.16378123	
654730.8245	0.981128744	12355.59285	-0.304400241	98777.27289	692745.8439	0.736195348	169.4889725	11.16776012	
654692.6314	0.981121949	12359.32063	-0.304417999	98792.0033	694692.978	0.733977231	169.5194951	11.17183076	
654656.1447	0.981115176	12363.0663	-0.304434965	98806.80342	696634.2267	0.731772399	169.549828	11.17599311	
654621.3503	0.98110842	12366.83159	-0.304451147	98821.68002	698569.6246	0.72958071	169.5799727	11.18024715	
654588.2345	0.98110168	12370.6182	-0.304466549	98836.63987	700499.2058	0.727402026	169.6099305	11.18459284	
654556.7833	0.981094951	12374.42785	-0.304481178	98851.68971	702423.0042	0.725236211	169.6397025	11.18903018	
654526.9832	0.981088232	12378.26228	-0.304495041	98866.83629	704341.0532	0.723083132	169.6692899	11.19355917	
654498.8206	0.981081519	12382.12318	-0.304508143	98882.08632	706253.3859	0.720942656	169.6986941	11.19817985	
654472.2822	0.98107481	12386.01227	-0.304520491	98897.44652	708160.0351	0.718814654	169.7279162	11.20289224	
654447.3546	0.981068101	12389.93126	-0.30453209	98912.92359	710061.0332	0.716698998	169.7569574	11.20769638	
